ALGORITMO,TRAZA,IPC,ACCESOS,ACIERTOS,FALLOS
plru_basic,621.wrf_s-575B.champsimtrace.xz,1.08438,3152,0,3152
lru,627.cam4_s-573B.champsimtrace.xz,1.13553,615172,321791,293381
plru_basic,623.xalancbmk_s-700B.champsimtrace.xz,0.591264,431134,325538,105596
plru_basic,654.roms_s-842B.champsimtrace.xz,1.01807,19498,3295,16203
plru_basic,605.mcf_s-665B.champsimtrace.xz,0.362341,2840463,1555420,1285043
ship,638.imagick_s-10316B.champsimtrace.xz,2.36756,3906,0,3906
srrip,602.gcc_s-734B.champsimtrace.xz,0.439931,969966,18285,951681
srrip,603.bwaves_s-3699B.champsimtrace.xz,1.19771,96304,30413,65891
plru_basic,620.omnetpp_s-874B.champsimtrace.xz,0.335715,1825255,877979,947276
srrip,620.omnetpp_s-874B.champsimtrace.xz,0.337642,1824697,887054,937643
drrip,648.exchange2_s-1699B.champsimtrace.xz,1.31067,1010,0,1010
lru,600.perlbench_s-210B.champsimtrace.xz,1.40447,4411,20,4391
lru,638.imagick_s-10316B.champsimtrace.xz,2.36791,3906,0,3906
plru_tree,607.cactuBSSN_s-2421B.champsimtrace.xz,1.18899,835883,323042,512841
promocion,649.fotonik3d_s-1176B.champsimtrace.xz,0.626763,1755039,26201,1728838
plru_basic,600.perlbench_s-210B.champsimtrace.xz,1.40447,4411,20,4391
srrip,623.xalancbmk_s-700B.champsimtrace.xz,0.591097,428507,309932,118575
promocion,619.lbm_s-4268B.champsimtrace.xz,0.412648,8361679,268739,8092940
plru_basic,602.gcc_s-734B.champsimtrace.xz,0.439677,970040,17319,952721
lru,619.lbm_s-4268B.champsimtrace.xz,0.404613,8361683,3635779,4725904
drrip,649.fotonik3d_s-1176B.champsimtrace.xz,0.613525,1754257,863283,890974
promocion,644.nab_s-5853B.champsimtrace.xz,1.19644,20247,995,19252
plru_tree,648.exchange2_s-1699B.champsimtrace.xz,1.31072,1010,0,1010
plru_basic,648.exchange2_s-1699B.champsimtrace.xz,1.31072,1010,0,1010
drrip,607.cactuBSSN_s-2421B.champsimtrace.xz,1.17795,846613,328252,518361
ship,627.cam4_s-573B.champsimtrace.xz,1.14199,612632,143430,469202
drrip,603.bwaves_s-3699B.champsimtrace.xz,1.19673,96308,39491,56817
